Movie,Year,budget,runtime,genres,popularity,vote_average,vote_count,Views,Likes,Comments,IMDb_Rating,numVotes,Gross
The Creator,2023.0,80000000,134,"Science Fiction, Action, Thriller",496.806,7.5,107,16951714.0,118835.0,8956.0,6.7,185067.0,104272136.0
Pathaan,2023.0,63000000,146,"Action, Adventure, Thriller",22.964,6.607,107,104179067.0,2455233.0,198199.0,5.8,160632.0,112583450.0
80 for Brady,2023.0,28000000,98,Comedy,17.646,6.61,100,3061929.0,11870.0,1458.0,5.9,13255.0,40362938.0
Book Club: The Next Chapter,2023.0,20000000,108,"Comedy, Romance",29.292,6.609,92,6394154.0,5378.0,405.0,5.6,8669.0,29014500.0
The Machine,2023.0,0,112,"Comedy, Action, Crime",34.71,5.989,90,2913806.0,28016.0,1759.0,5.7,17240.0,10664328.0
House Party,2023.0,0,100,Comedy,14.878,5.873,79,808487.0,12636.0,1336.0,4.4,4670.0,9285747.0
Bottoms,2023.0,11300000,92,Comedy,100.876,7.127,75,4140808.0,54996.0,2310.0,6.7,52095.0,12966048.0
Jesus Revolution,2023.0,15000000,120,"Drama, History",25.539,6.9,75,32640878.0,46067.0,3833.0,7.1,15600.0,54295801.0
On the Wandering Paths,2023.0,0,92,Drama,5.38,6.216,74,51783.0,68.0,5.0,6.6,1480.0,8186678.0
On the Wandering Paths,2023.0,0,92,Drama,5.38,6.216,74,51783.0,68.0,5.0,,,8186678.0
After Everything,2023.0,14000000,93,"Romance, Drama",474.472,6.768,69,2990739.0,17687.0,664.0,4.7,10223.0,10644463.0
Jawan,2023.0,36150000,169,"Action, Adventure, Thriller",52.487,7.4,67,5648611.0,81528.0,1674.0,6.9,104478.0,28499044.0
Dream,2023.0,0,125,"Comedy, Drama",20.084,7.056,63,1198953.0,23394.0,373.0,6.5,3771.0,8317251.0
Saw X,2023.0,13000000,118,"Crime, Horror, Thriller",949.967,7.321,56,39333347.0,175484.0,15399.0,6.6,89114.0,111823047.0
Detective Conan: Black Iron Submarine,2023.0,0,110,"Animation, Action, Crime, Mystery",197.862,6.579,38,294744.0,2682.0,268.0,7.1,2488.0,106771806.0
Epic Tails,2023.0,0,95,"Animation, Adventure, Fantasy, Family",304.93,6.868,38,940621.0,909.0,86.0,,,14854710.0
Sun and Concrete,2023.0,0,119,"Crime, Drama, Adventure",3.988,7.639,36,26355.0,123.0,4.0,7.4,5375.0,10119958.0
My Big Fat Greek Wedding 3,2023.0,0,92,"Romance, Comedy",295.179,6.5,31,7733354.0,14858.0,1295.0,5.2,11644.0,38831076.0
A Guilty Conscience,2023.0,2800000,133,Drama,8.215,6.617,30,48437.0,80.0,0.0,7.2,2144.0,14911562.0
The Point Men,2023.0,0,108,"Crime, Action",9.933,6.4,23,479506.0,2963.0,137.0,6.0,1859.0,13433834.0
Cats in the Museum,2023.0,0,79,"Animation, Comedy",57.145,6.95,20,17910.0,53.0,10.0,4.7,599.0,8772739.0
BTS: Yet to Come in Cinemas,2023.0,0,103,Music,2.138,4.972,18,2233300.0,341359.0,10000.0,8.6,1855.0,29291883.0
PAW Patrol: The Mighty Movie,2023.0,30000000,92,"Animation, Family, Comedy, Action, Science Fiction",257.355,7.679,14,10589682.0,33519.0,0.0,5.9,5907.0,202231360.0
Dumb Money,2023.0,0,104,"Comedy, Drama, History",40.479,7.192,13,12399961.0,33777.0,2233.0,6.9,56300.0,20703794.0
The Challenge,2023.0,0,164,Drama,3.439,7.692,13,119492.0,2299.0,606.0,6.7,2703.0,23219519.0
The Boy and the Heron,2023.0,0,124,"Animation, Fantasy, Drama, Adventure",35.211,8.1,13,19583666.0,105507.0,3374.0,7.4,94462.0,173407313.0
The Legend & Butterfly,2023.0,0,168,"History, Drama, Romance",2.389,6.7,12,95784.0,140.0,0.0,6.5,699.0,16087771.0
Concrete Utopia,2023.0,0,130,"Thriller, Science Fiction, Drama",104.525,7.1,10,711005.0,3977.0,200.0,6.6,8071.0,30077348.0
Vacaciones de verano,2023.0,0,0,"Comedy, Family",21.201,5.417,6,66502.0,350.0,23.0,5.0,803.0,8209854.0
His Only Son,2023.0,250000,106,"Drama, Fantasy",31.135,7.3,5,83660.0,462.0,96.0,5.9,2785.0,13817186.0
Smugglers,2023.0,0,129,"Crime, Action",27.516,7.0,5,348273.0,661.0,17.0,6.3,1870.0,36851831.0
Rehragout-Rendezvous,2023.0,0,98,"Crime, Comedy",2.66,6.8,4,4914135.0,11129.0,402.0,6.4,1100.0,14127069.0
The Blind,2023.0,0,105,Drama,54.327,10.0,3,1747817.0,12706.0,575.0,6.2,2516.0,17265487.0
The House of No Man,2023.0,0,103,"Drama, Comedy",2.621,4.5,2,987.0,21.0,0.0,6.1,569.0,19490980.0
The Animal Kingdom,2023.0,14500000,130,"Adventure, Drama, Science Fiction",21.302,7.75,2,293679.0,444.0,30.0,6.7,10501.0,8938787.0
Face Off 6: The Ticket of Destiny,2023.0,0,131,"Action, Drama",1.105,6.5,2,176392.0,394.0,29.0,6.4,310.0,11538081.0
Sleep,2023.0,0,95,"Horror, Mystery",9.401,7.5,2,302603.0,831.0,34.0,6.6,5998.0,10967729.0
The Exorcist: Believer,2023.0,0,111,Horror,159.608,6.0,2,32196434.0,112403.0,13595.0,4.8,46412.0,136284218.0
Weekend Rebels,2023.0,0,0,"Drama, Comedy",13.685,9.5,2,4634.0,26.0,0.0,7.1,1656.0,8184539.0
Queen Rock Montreal,2024.0,0,0,"Music, Documentary",1.4,9.0,1,114111.0,1727.0,128.0,8.5,788.0,2537304.0
Air,2023.0,0,93,Documentary,0.6,2.0,1,14459115.0,44277.0,2796.0,7.4,183348.0,90060106.0
Air,2023.0,0,93,Documentary,0.6,2.0,1,14459115.0,44277.0,2796.0,7.4,183348.0,5468936.0
Air,2023.0,0,93,Documentary,0.6,2.0,1,14459115.0,44277.0,2796.0,5.3,444.0,90060106.0
Air,2023.0,0,93,Documentary,0.6,2.0,1,14459115.0,44277.0,2796.0,5.3,444.0,5468936.0
Missing,2023.0,0,172,Thriller,0.0,10.0,1,17677295.0,36418.0,2204.0,7.1,67315.0,48767848.0
Samurai Beyond Admiration Record to the World's Best,2023.0,0,130,Documentary,0.833,7.0,1,59161.0,466.0,32.0,,,10876188.0
House Party,2023.0,18666,14,Drama,0.737,2.0,1,808487.0,12636.0,1336.0,4.4,4670.0,9285747.0
Freelance,2023.0,40000000,0,"Action, Comedy",28.433,9.0,1,4350739.0,11175.0,436.0,5.5,24883.0,10212160.0
Animal,2023.0,0,20,"Drama, Thriller, Action",0.6,0.0,0,112878768.0,1899425.0,72300.0,6.1,105795.0,92870227.0
Animal,2023.0,0,20,"Drama, Thriller, Action",0.6,0.0,0,112878768.0,1899425.0,72300.0,6.6,852.0,92870227.0
Renaissance: A Film by Beyoncé,2023.0,0,160,"Music, Documentary",7.092,0.0,0,2127353.0,71070.0,3385.0,8.6,3670.0,43989684.0
Five Nights at Freddy's,2023.0,0,7,"Horror, Thriller, Comedy",2.744,0.0,0,44759028.0,878170.0,64060.0,5.4,111859.0,291493620.0
N'avoue jamais,2024.0,5000000,0,Comedy,0.695,0.0,0,198998.0,1006.0,58.0,5.8,527.0,1437432.0
Autumn and the Black Jaguar,2024.0,0,0,"Comedy, Adventure",1.693,0.0,0,353023.0,1140.0,46.0,5.6,1000.0,21429423.0
Oppenheimer,2023.0,0,43,Documentary,1.4,0.0,0,73045214.0,829634.0,33806.0,8.3,883245.0,972444774.0
National Theatre Live: Vanya,2024.0,0,110,Drama,0.899,0.0,0,382893.0,2786.0,98.0,8.6,990.0,2504285.0
Aristokratka ve varu,2024.0,0,0,Comedy,0.847,0.0,0,163843.0,898.0,22.0,5.1,58.0,2035808.0
Dream,2023.0,0,0,Animation,1.224,0.0,0,1198953.0,23394.0,373.0,6.5,3771.0,8317251.0
Et plus si affinités,2024.0,0,0,"Comedy, Drama",0.75,0.0,0,1313199.0,250.0,31.0,,,2016318.0
Menudas piezas,2024.0,0,0,Comedy,1.4,0.0,0,486121.0,773.0,54.0,5.8,599.0,1586216.0
Dream,2023.0,0,120,"Drama, Fantasy, Romance",2.146,0.0,0,1198953.0,23394.0,373.0,6.5,3771.0,8317251.0
After Death,2023.0,0,103,"Documentary, Drama",4.889,0.0,0,395739.0,4428.0,600.0,6.3,1902.0,11794504.0
