Unnamed: 0,Year,Movie,Video_ID,Views,Likes,Comments,IMDb_Rating,numVotes,key,Gross,clean_title
128,2023.0,Saltburn,lALMdJf6UUE,16394288.0,62801.0,2083.0,7.0,243416.0,saltburn,21026167.0,saltburn
129,2023.0,Dumb Money,bmr8YmwnZ3w,12399961.0,33777.0,2233.0,6.9,56300.0,dumb money,20703794.0,dumb money
130,2023.0,All of Us Strangers,O97iSjvqBlY,3614911.0,41048.0,1903.0,7.6,70539.0,all of us strangers,19914757.0,all of us strangers
131,2023.0,My Happy Marriage,omGVgPaFelg,427770.0,5297.0,284.0,6.9,1682.0,my happy marriage,19506407.0,my happy marriage
132,2023.0,The House of No Man,_5pyvHUyzxw,987.0,21.0,0.0,6.1,569.0,the house of no man,19490980.0,the house of no man
133,2023.0,Champions,8PdPTE1G_0U,654840.0,1973.0,162.0,6.8,32458.0,champions,19159065.0,champions
134,2023.0,Retribution,jzQn0-WH4WM,13796374.0,39529.0,2995.0,5.3,25412.0,retribution,18685751.0,retribution
135,2023.0,Next Goal Wins,pRH5u5lpArQ,5183772.0,18536.0,1208.0,6.5,28965.0,next goal wins,18648802.0,next goal wins
136,2023.0,IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,ZYQL35t7CQA,3277.0,87.0,0.0,7.4,26.0,idolish7 movie live 4bit  beyond the period,18638991.0,idolish7 movie live 4bit  beyond the period
137,2023.0,Love Reset,vFseJg1WeMk,752916.0,9095.0,271.0,6.8,2458.0,love reset,18425272.0,love reset
138,2023.0,The Blackening,ImM2EkqSFfU,894598.0,4829.0,738.0,,,the blackening,18169453.0,the blackening
139,2023.0,About My Father,txLSE7tpgr0,22480826.0,12047.0,1056.0,5.7,15664.0,about my father,18167819.0,about my father
140,2023.0,Mavka: The Forest Song,GXaMT5pX12w,4108338.0,55482.0,1115.0,6.6,6699.0,mavka the forest song,17897257.0,mavka the forest song
141,2023.0,The Birth of Kitaro: Mystery of GeGeGe,hcKiMTNtWZY,102999.0,1419.0,69.0,7.2,519.0,the birth of kitaro mystery of gegege,17842454.0,the birth of kitaro mystery of gegege
142,2023.0,The Blind,dE2wUVknVj8,1747817.0,12706.0,575.0,6.2,2516.0,the blind,17265487.0,the blind
143,2023.0,Tokyo Revengers 2: Bloody Halloween - Destiny,mCJyYdwSYUk,92745.0,280.0,14.0,6.2,623.0,tokyo revengers 2 bloody halloween  destiny,17216567.0,tokyo revengers 2 bloody halloween  destiny
144,2023.0,Hypnotic,N-qn4h-amyY,940464.0,4329.0,435.0,5.5,42120.0,hypnotic,16281937.0,hypnotic
145,2023.0,The Legend & Butterfly,f-ppFCoO58M,95784.0,140.0,0.0,6.5,699.0,the legend  butterfly,16087771.0,the legend  butterfly
146,2023.0,Die drei ??? - Erbe des Drachen,Fagpm_FWDLw,264522.0,1136.0,24.0,5.6,870.0,die drei   erbe des drachen,15860016.0,die drei   erbe des drachen
147,2023.0,Shin Kamen Rider,WCSbh6nk4bs,639493.0,6527.0,309.0,6.1,3438.0,shin kamen rider,15835414.0,shin kamen rider
148,2023.0,Joy Ride,jyI-AM5VXDo,4411630.0,39918.0,2379.0,6.4,27005.0,joy ride,15787674.0,joy ride
149,2023.0,Dunki,Zd69FfhBmSc,2269076.0,23594.0,720.0,6.5,81327.0,dunki,15473051.0,dunki
150,2023.0,Tonde Saitama: Biwako Yori Ai o Komete,usf1CFfD6TQ,17.0,4.0,0.0,6.1,145.0,tonde saitama biwako yori ai o komete,15107891.0,tonde saitama biwako yori ai o komete
